ctry,isic,year,rca
row,c45,1995,0
rou,c31,2008,0
ind,c28,2008,0
prt,c35,2005,0
aus,c72,2008,0
swe,c45,2008,0
aus,c72,2000,0
isr,c45,1995,0
mys,c71,2000,0
phl,c72,2005,0
mex,c72,1995,0
grc,c70,2000,0
brn,c75,2008,0
mex,c71,2008,0
mys,c72,1995,0
isr,c45,2008,0
ind,c75,2008,0
tha,c75,1995,0
zaf,c75,2008,0
hun,c71,2008,0
zaf,c72,2005,0
irl,c75,1995,0
rus,c72,2008,0
esp,c72,2008,0
rou,c31,1995,0
rus,c35,2000,0
vnm,c45,2008,0
isl,c75,2000,0
can,c28,2008,0
esp,c31,2008,0
hkg,c34,1995,0
sau,c85,1995,0
khm,c72,2008,0
jpn,c70,2005,0
lux,c23,2000,0
tha,c90t93,1995,0
row,c40t41,2005,0
arg,c85,2008,0
can,c71,1995,0
dnk,c31,2000,0
sau,c75,2005,0
phl,c85,2005,0
chl,c72,2000,0
mex,c31,2008,0
row,c40t41,2000,0
fin,c45,1995,0
chl,c303233,1995,0
ind,c31,2000,0
hun,c72,1995,0
idn,c40t41,2000,0
mlt,c23,1995,0
grc,c35,2005,0
chl,c45,2008,0
pol,c75,1995,0
arg,c55,1995,0
can,c72,2008,0
ind,c35,1995,0
hkg,c71,2008,0
phl,c55,1995,0
arg,c70,2008,0
gbr,c28,2008,0
che,c71,1995,0
rou,c80,2008,0
irl,c70,2008,0
bgr,c28,2008,0
tha,c71,1995,0
khm,c72,1995,0
zaf,c71,2008,0
vnm,c45,2000,0
hkg,c10t14,2008,0
ltu,c71,2000,0
ind,c85,1995,0
phl,c85,1995,0
bgr,c35,2008,0
mlt,c10t14,1995,2.62E-07
irl,c70,1995,1.37E-06
brn,c27,2005,3.04E-06
brn,c27,2008,5.28E-06
idn,c40t41,2008,5.61E-06
idn,c40t41,2005,6.70E-06
rou,c80,1995,9.15E-06
rou,c75,1995,9.29E-06
ind,c85,2008,0.0000104
brn,c27,2000,0.0000124
mlt,c40t41,1995,0.0000144
irl,c85,1995,0.0000167
